Frequency (Hz),Channel 1 (dBV),Phase (deg)
40.4,-107.8182743675353,54.9912857369162
40.6,-107.0112074742253,13.05810065568269
40.8,-106.0407946124113,-34.51649077304052
41,-107.6604375939889,-93.29343936046166
41.2,-105.7323011423691,-136.6063308046307
41.4,-109.9465346544948,171.2496171299137
41.6,-114.2644387289454,-168.7735746046836
41.8,-107.3948674008202,112.5629091525958
42,-110.2747014013683,94.94171114109722
42.2,-108.8099477022702,13.12342346441795
42.4,-107.8777315081667,7.184386358991723
42.6,-109.0149063144711,-71.59797483458289
42.8,-111.9547416329461,-123.9242831542914
43,-108.4824074888109,-125.797013763953
43.2,-111.2538469408641,166.2057118239696
43.4,-107.4207589862356,109.7413961787132
43.6,-120.465325290119,48.53731970639289
43.8,-110.8248129150697,36.57388901847113
44,-122.3691408959431,-41.31633759981136
44.2,-119.0690967541855,-5.037935273604798
44.4,-110.895455763917,-71.19700908390035
44.6,-117.2573168154439,-69.31694479039137
44.8,-109.1475877842623,-174.9315630012772
45,-135.8607472175844,-1.960875636859029
45.2,-115.5425844877845,110.2245983290097
45.4,-114.2953174764601,172.6992208930777
45.6,-110.0593535313378,36.13875857272414
45.8,-124.0204272382802,-60.52289074110321
46,-112.5954551898311,-11.89906253477221
46.2,-116.2006902660347,-86.09881475118219
46.4,-109.2789277215209,-140.4496042348148
46.6,-115.6503630579453,-86.72454705452103
46.8,-106.8209913834719,124.953976501001
47,-115.4841929341991,33.26327061543387
47.2,-122.1432566661048,-25.66285658685205
47.4,-120.3465400913795,103.5257181178618
47.6,-118.4672924211762,171.0476242521765
47.8,-112.7831608083974,-25.39827563086875
48,-110.1598792159058,-51.24324088225509
48.2,-116.8690074544771,-164.2439301438812
48.4,-115.2698932421883,118.2448105295276
48.6,-113.2569698102302,67.27113204628178
48.8,-114.5956700050306,-121.0586722484783
49,-114.0944592589105,-108.6666396307467
49.2,-116.8404781714569,62.64720410594111
49.4,-117.2198029028223,-155.4685507545728
49.6,-118.9039291015403,-46.51595966329165
49.8,-118.6355856482127,114.3250803265958
50,-114.602080947578,-6.559060510616862
50.2,-123.3322408932672,116.1280555955117
50.4,-119.0400007922813,-138.048290193165
50.6,-119.9779443195854,-41.84800074194796
50.8,-141.2469530328339,178.8678679092298
51,-115.5883857953931,-161.9980710007861
51.2,-114.8958752168555,157.7196193916526
51.4,-110.9602910531818,-32.70515743919446
51.6,-114.9595693920121,124.5918746740747
51.8,-122.5546370636516,158.8151247781794
52,-118.1160041843271,80.33544869843398
52.2,-115.4119924963999,71.64575912412678
52.4,-111.5439665306404,-75.75875592470402
52.6,-116.7318119890285,-155.9391549526819
52.8,-114.9747908401031,-131.1485317796288
53,-110.1781338962143,42.36817830130314
53.2,-124.1503826803884,121.2393919719627
53.4,-124.551081576074,-20.95010943233241
53.6,-122.5271873479838,172.0050164362951
53.8,-116.8118485155614,-29.47809813060169
54,-126.0639756059815,-29.06210689871909
54.2,-110.5219143378155,-177.8919579432404
54.4,-118.3519443532923,55.00208205460936
54.6,-114.975033193004,-130.8380444800594
54.8,-116.8358837093514,169.360705931358
55,-113.0988721070976,53.55623399726601
55.2,-110.3201895091036,39.65846677843177
